filename,audio_path,transcript,region
sentence_01.wav,dataset/chunks/barishal/bar_cate_01/sentence_01.wav,আপনি কোথা থেকে এসেছেন?,barishal
sentence_02.wav,dataset/chunks/barishal/bar_cate_01/sentence_02.wav,আপনার নাম কী?,barishal
sentence_03.wav,dataset/chunks/barishal/bar_cate_01/sentence_03.wav,আমার নাম জন।,barishal
sentence_04.wav,dataset/chunks/barishal/bar_cate_01/sentence_04.wav,আপনার সাথে পরিচিত হয়ে ভালো লাগলো।,barishal
sentence_05.wav,dataset/chunks/barishal/bar_cate_01/sentence_05.wav,আমি এই এলাকায় নতুন।,barishal
sentence_06.wav,dataset/chunks/barishal/bar_cate_01/sentence_06.wav,আপনি কি এখানে থাকেন?,barishal
sentence_07.wav,dataset/chunks/barishal/bar_cate_01/sentence_07.wav,আপনি কি প্রথমবার এখানে এসেছেন?,barishal
sentence_08.wav,dataset/chunks/barishal/bar_cate_01/sentence_08.wav,আমি বাংলাদেশে ভ্রমণে এসেছি।,barishal
sentence_09.wav,dataset/chunks/barishal/bar_cate_01/sentence_09.wav,আপনি কী করেন?,barishal
sentence_10.wav,dataset/chunks/barishal/bar_cate_01/sentence_10.wav,আমি একজন ছাত্র।,barishal
sentence_11.wav,dataset/chunks/barishal/bar_cate_01/sentence_11.wav,আপনার বাড়ি কোথায়?,barishal
sentence_12.wav,dataset/chunks/barishal/bar_cate_01/sentence_12.wav,আপনি কেমন আছেন?,barishal
sentence_13.wav,dataset/chunks/barishal/bar_cate_01/sentence_13.wav,আমি ভালো আছি।,barishal
sentence_14.wav,dataset/chunks/barishal/bar_cate_01/sentence_14.wav,অনেক দিন পর দেখা হলো।,barishal
sentence_15.wav,dataset/chunks/barishal/bar_cate_01/sentence_15.wav,আপনাকে আবার দেখে ভালো লাগছে।,barishal
sentence_16.wav,dataset/chunks/barishal/bar_cate_01/sentence_16.wav,আপনি কি আমাকে সাহায্য করতে পারবেন?,barishal
sentence_17.wav,dataset/chunks/barishal/bar_cate_01/sentence_17.wav,আপনার সাথে কথা বলে ভালো লাগছে।,barishal
sentence_18.wav,dataset/chunks/barishal/bar_cate_01/sentence_18.wav,আমি এখানে কাজের জন্য এসেছি।,barishal
sentence_19.wav,dataset/chunks/barishal/bar_cate_01/sentence_19.wav,আপনি কোন দেশ থেকে এসেছেন?,barishal
sentence_20.wav,dataset/chunks/barishal/bar_cate_01/sentence_20.wav,আমি ইংরেজি বলতে পারি।,barishal
sentence_21.wav,dataset/chunks/barishal/bar_cate_01/sentence_21.wav,আপনি কি বাংলা বলতে পারেন?,barishal
sentence_22.wav,dataset/chunks/barishal/bar_cate_01/sentence_22.wav,আমি বাংলা শিখছি।,barishal
sentence_23.wav,dataset/chunks/barishal/bar_cate_01/sentence_23.wav,ধন্যবাদ আপনাকে।,barishal
sentence_24.wav,dataset/chunks/barishal/bar_cate_01/sentence_24.wav,আপনাকে স্বাগতম।,barishal
sentence_25.wav,dataset/chunks/barishal/bar_cate_01/sentence_25.wav,আপনার বয়স কত?,barishal
sentence_26.wav,dataset/chunks/barishal/bar_cate_01/sentence_26.wav,আমি এখানে পড়াশোনা করছি।,barishal
sentence_27.wav,dataset/chunks/barishal/bar_cate_01/sentence_27.wav,আমি এই শহরটি পছন্দ করি।,barishal
sentence_28.wav,dataset/chunks/barishal/bar_cate_01/sentence_28.wav,আপনার পরিবার কেমন আছে?,barishal
sentence_29.wav,dataset/chunks/barishal/bar_cate_01/sentence_29.wav,আপনার সাথে দেখা করতে পেরে আনন্দিত।,barishal
sentence_30.wav,dataset/chunks/barishal/bar_cate_01/sentence_30.wav,আপনি কি এখানে দীর্ঘদিন থাকবেন?,barishal
sentence_31.wav,dataset/chunks/barishal/bar_cate_01/sentence_31.wav,আমি কয়েকদিনের জন্য এসেছি।,barishal
sentence_32.wav,dataset/chunks/barishal/bar_cate_01/sentence_32.wav,আপনার সাথে যোগাযোগ রাখতে চাই।,barishal
sentence_33.wav,dataset/chunks/barishal/bar_cate_01/sentence_33.wav,এটা আমার প্রথম সফর।,barishal
sentence_34.wav,dataset/chunks/barishal/bar_cate_01/sentence_34.wav,আমি আপনার দেশ সম্পর্কে জানতে চাই।,barishal
sentence_35.wav,dataset/chunks/barishal/bar_cate_01/sentence_35.wav,আপনি কোথায় কাজ করেন?,barishal
sentence_36.wav,dataset/chunks/barishal/bar_cate_01/sentence_36.wav,আপনার ফোন নম্বর দিতে পারেন?,barishal
sentence_37.wav,dataset/chunks/barishal/bar_cate_01/sentence_37.wav,আমি আপনার সাথে পরে কথা বলবো।,barishal
sentence_38.wav,dataset/chunks/barishal/bar_cate_01/sentence_38.wav,আপনাকে দেখে ভালো লাগলো।,barishal
sentence_39.wav,dataset/chunks/barishal/bar_cate_01/sentence_39.wav,আপনি কি এখানে একা এসেছেন?,barishal
sentence_40.wav,dataset/chunks/barishal/bar_cate_01/sentence_40.wav,আমি আমার বন্ধুর সাথে এসেছি।,barishal
sentence_41.wav,dataset/chunks/barishal/bar_cate_01/sentence_41.wav,আপনার পেশা কী?,barishal
sentence_42.wav,dataset/chunks/barishal/bar_cate_01/sentence_42.wav,আমি একজন শিক্ষক।,barishal
sentence_43.wav,dataset/chunks/barishal/bar_cate_01/sentence_43.wav,আপনার সাথে কাজ করতে চাই।,barishal
sentence_44.wav,dataset/chunks/barishal/bar_cate_01/sentence_44.wav,আজকে আবহাওয়া সুন্দর।,barishal
sentence_45.wav,dataset/chunks/barishal/bar_cate_01/sentence_45.wav,আপনি কি এখানে থাকেন নাকি ভ্রমণে এসেছেন?,barishal
sentence_46.wav,dataset/chunks/barishal/bar_cate_01/sentence_46.wav,আমি এই জায়গাটি প্রথমবার দেখছি।,barishal
sentence_47.wav,dataset/chunks/barishal/bar_cate_01/sentence_47.wav,আপনার সাথে পরিচয় হওয়া আমার জন্য সম্মানের।,barishal
sentence_48.wav,dataset/chunks/barishal/bar_cate_01/sentence_48.wav,আপনি কোন ভাষায় কথা বলেন?,barishal
sentence_49.wav,dataset/chunks/barishal/bar_cate_01/sentence_49.wav,আমি আপনার কাছ থেকে শিখতে চাই।,barishal
sentence_50.wav,dataset/chunks/barishal/bar_cate_01/sentence_50.wav,আমি খুব আনন্দিত।,barishal
sentence_51.wav,dataset/chunks/barishal/bar_cate_01/sentence_51.wav,আপনার দিনটি কেমন কাটছে?,barishal
sentence_52.wav,dataset/chunks/barishal/bar_cate_01/sentence_52.wav,আমি একটু দেরি করেছি।,barishal
sentence_53.wav,dataset/chunks/barishal/bar_cate_01/sentence_53.wav,আপনাকে অপেক্ষা করানোর জন্য দুঃখিত।,barishal
sentence_54.wav,dataset/chunks/barishal/bar_cate_01/sentence_54.wav,আপনার সাথে আবার দেখা হবে আশা করি।,barishal
sentence_55.wav,dataset/chunks/barishal/bar_cate_01/sentence_55.wav,আপনি কি কাছাকাছি থাকেন?,barishal
sentence_56.wav,dataset/chunks/barishal/bar_cate_01/sentence_56.wav,আমি আপনার সাহায্যের জন্য কৃতজ্ঞ।,barishal
sentence_57.wav,dataset/chunks/barishal/bar_cate_01/sentence_57.wav,আপনাকে শুভেচ্ছা জানাই।,barishal
sentence_58.wav,dataset/chunks/barishal/bar_cate_01/sentence_58.wav,আপনার দিনটি শুভ হোক।,barishal
sentence_59.wav,dataset/chunks/barishal/bar_cate_01/sentence_59.wav,আপনার সাথে কথা বলা আনন্দের ছিল।,barishal
sentence_60.wav,dataset/chunks/barishal/bar_cate_01/sentence_60.wav,আমি আপনাকে সম্মান করি।,barishal
sentence_61.wav,dataset/chunks/barishal/bar_cate_01/sentence_61.wav,আমি এখানে কাজ শুরু করেছি।,barishal
sentence_62.wav,dataset/chunks/barishal/bar_cate_01/sentence_62.wav,আপনি কখন এসেছেন?,barishal
sentence_63.wav,dataset/chunks/barishal/bar_cate_01/sentence_63.wav,আমি গতকাল এসেছি।,barishal
sentence_64.wav,dataset/chunks/barishal/bar_cate_01/sentence_64.wav,আপনি কতদিন থাকবেন?,barishal
sentence_65.wav,dataset/chunks/barishal/bar_cate_01/sentence_65.wav,আমি এক সপ্তাহ থাকবো।,barishal
sentence_66.wav,dataset/chunks/barishal/bar_cate_01/sentence_66.wav,আপনার সাথে বন্ধুত্ব করতে চাই।,barishal
sentence_67.wav,dataset/chunks/barishal/bar_cate_01/sentence_67.wav,আপনি খুব ভদ্র মানুষ।,barishal
sentence_68.wav,dataset/chunks/barishal/bar_cate_01/sentence_68.wav,আমি আপনাকে ধন্যবাদ জানাই।,barishal
sentence_69.wav,dataset/chunks/barishal/bar_cate_01/sentence_69.wav,আপনার সাথে দেখা হওয়া সৌভাগ্যের।,barishal
sentence_70.wav,dataset/chunks/barishal/bar_cate_01/sentence_70.wav,আমি আপনার সাথে আবার যোগাযোগ করবো।,barishal
sentence_01.wav,dataset/chunks/barishal/bar_cate_02/sentence_01.wav,বাস স্ট্যান্ড কোথায়?,barishal
sentence_02.wav,dataset/chunks/barishal/bar_cate_02/sentence_02.wav,এই রাস্তাটি কোথায় যায়?,barishal
sentence_03.wav,dataset/chunks/barishal/bar_cate_02/sentence_03.wav,রেলওয়ে স্টেশন কত দূরে?,barishal
sentence_04.wav,dataset/chunks/barishal/bar_cate_02/sentence_04.wav,বিমানবন্দর যাওয়ার রাস্তা কোনটি?,barishal
sentence_05.wav,dataset/chunks/barishal/bar_cate_02/sentence_05.wav,বাজারে যেতে কোন বাসে উঠবো?,barishal
sentence_06.wav,dataset/chunks/barishal/bar_cate_02/sentence_06.wav,এই বাস কি ঢাকায় যাবে?,barishal
sentence_07.wav,dataset/chunks/barishal/bar_cate_02/sentence_07.wav,ভাড়া কত?,barishal
sentence_08.wav,dataset/chunks/barishal/bar_cate_02/sentence_08.wav,রিকশার ভাড়া কত নেবেন?,barishal
sentence_09.wav,dataset/chunks/barishal/bar_cate_02/sentence_09.wav,আমাকে হাসপাতালে নিয়ে চলুন।,barishal
sentence_10.wav,dataset/chunks/barishal/bar_cate_02/sentence_10.wav,এই ট্রেন কখন ছাড়বে?,barishal
sentence_11.wav,dataset/chunks/barishal/bar_cate_02/sentence_11.wav,ট্রেন কত নম্বর প্ল্যাটফর্মে আসবে?,barishal
sentence_12.wav,dataset/chunks/barishal/bar_cate_02/sentence_12.wav,এখানে কি টিকিট কাউন্টার আছে?,barishal
sentence_13.wav,dataset/chunks/barishal/bar_cate_02/sentence_13.wav,"এক টিকিট দিন, চট্টগ্রামের জন্য।",barishal
sentence_14.wav,dataset/chunks/barishal/bar_cate_02/sentence_14.wav,বাস কখন ছাড়বে?,barishal
sentence_15.wav,dataset/chunks/barishal/bar_cate_02/sentence_15.wav,এই রাস্তায় কি যানজট হয়?,barishal
sentence_16.wav,dataset/chunks/barishal/bar_cate_02/sentence_16.wav,সোজা গেলে কি ব্যাংক পাবো?,barishal
